descricao,valor,tipo
Consultoria de tecnologia para clientes,22000.00,receita
Suporte técnico mensal (contratos recorrentes),6000.00,receita
Assinatura AWS,1500.00,despesa
GitHub Copilot,200.00,despesa
Licença Windows Server,800.00,despesa
Microsoft 365,350.00,despesa
Serviço de Contabilidade,900.00,despesa
Consultoria Jurídica,1200.00,despesa
Café para o escritório,50.00,despesa
Aluguel da sede,5000.00,despesa
Material de limpeza,120.00,despesa
Seguro empresarial,300.00,despesa
Datadog (monitoramento),450.00,despesa
Stripe (gateway de pagamento),180.00,despesa
Treinamento da equipe,600.00,despesa
Viagem a São Paulo,800.00,despesa
Licença Adobe Creative Cloud,250.00,despesa
